ID,ふりがな,氏名,所属・役職,主な対応分野,顔写真,PDF
33,うざわ　じゅんこ,鵜澤　純子,"株式会社テレワークマネジメント　マネージャー
","テレワーク,働き方,",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7028.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/028_2025_ad.pdf
34,うしじま　せいごう,牛島　清豪,"株式会社ローカルメディアラボ　代表取締役
デジタル庁オープンデータ伝道師","オープンデータ,EBPM（エビデンスに基づく政策立案）,人材（ＤＸに関する知識習得・研修・育成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7029.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/029_2025_ad.pdf
35,うすい　ひろひさ,碓井　洋寿,"当別町企画部デジタル都市推進課 主幹
","生成AI活用,,",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7223.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/223_2025_ad.pdf
36,うだがわ　さねゆき,宇田川　真之,"国立研究開発法人 防災科学技術研究所    社会防災研究領域 災害過程研究部門
","防災,,",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7030.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/030_2025_ad.pdf
37,うちやま　あつし,内山　淳,"長野県長野市役所　総務部情報化推進グループ情報システム課　DX推進専門員
富士通Japan株式会社　Public&Education事業本部ビジネス変革室　マネージャー","人材（ＤＸ推進のための機運の醸成）,行政手続オンライン化,働き方",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7224.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/224_2025_ad.pdf
38,うらた　まゆ,浦田　真由,"名古屋大学 大学院情報学研究科　准教授
デジタル庁　オープンデータ伝道師","デジタルデバイド対策,観光,オープンデータ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7031.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/031_2025_ad.pdf
39,えんじょうじ　ゆうすけ,円城寺　雄介,"佐賀県　農林水産部　企画主幹
早稲田大学デモクラシー創造研究所、Manikenプラクティショナー","人材（ＤＸ推進のための機運の醸成）,スタートアップ支援（起業支援）,その他",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7032.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/032_2025_ad.pdf
40,えんどう　まもる,遠藤　守,"名古屋大学大学院情報学研究科・准教授
一宮市役所・CIO補佐監","オープンデータ,スマートシティ,人材（ＤＸ推進のための機運の醸成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7033.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/033_2025_ad.pdf
41,えんどう　ゆういち,遠藤　勇一,"北九州市 保健福祉局 保険年金課 システム担当係長
山口県美祢市 ＤＸ推進アドバイザー、ＣＩＯ補佐官","自治体システムの標準化・共通化,自治体システム調達
地域情報プラットフォーム,マイナンバー",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7034.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/034_2025_ad.pdf
42,えんどう　よしゆき,遠藤　芳行,"特定非営利活動法人 Digital Government Labs 副代表理事
千葉市 情報統括副管理者（CIO補佐監）","その他,人材（ＤＸに関する知識習得・研修・育成）,自治体セキュリティ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7225.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/225_2025_ad.pdf
43,おいかわ　しんたろう,及川　慎太郎,"北見市　総務部　職員課　人材育成担当課長
","人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）,その他",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7035.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/035_2025_ad.pdf
44,おおき　かずひろ,大木　一浩,"NECソリューションイノベータ株式会社デジタルヘルスケア・未来都市統括部 シニアプロフェッショナル
早稲田大学グローバルエデュケーションセンター 非常勤講師","計画策定支援,人材（ＤＸ推進のための機運の醸成）,スマートシティ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7036.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/036_2025_ad.pdf
45,おおしま　まさみ,大島　正美,"一般社団法人データクレイドル　代表理事
デジタル庁　オープンデータ伝道師","オープンデータ,ICT活用広報,計画策定支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7037.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/037_2025_ad.pdf
46,おおたか　としお,大高　利夫,"元藤沢市総務部担当部長兼ＩＴ推進課長
消防庁 災害情報伝達手段アドバイザー","自治体セキュリティ,防災,人材（ＤＸ推進のための機運の醸成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7038.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/038_2025_ad.pdf
47,おおたがき　きょうこ,太田垣　恭子,"デジタル庁　オープンデータ伝道師
ANNAI　Inc.　代表取締役副社長　/　Code　for　Kyoto　代表　/　Civictech.tv","オープンデータ,人材（ＤＸに関する知識習得・研修・育成）,テレワーク",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7039.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/039_2025_ad.pdf
48,おおやぶ　たかし,大薮　多可志,"NPO法人　日本海国際交流センター副理事長
金沢大学融合領域研究協力員","観光,スマートシティ,防災",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7041.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/041_2025_ad.pdf
49,おおやま　みずほ,大山　水帆,"一般社団法人デジタル広域推進機構　代表理事
MIZUHOデジタルサポート　代表","自治体システムの標準化・共通化,自治体セキュリティ,生成AI活用",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7042.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/042_2025_ad.pdf
50,おがた　せいじ,尾形　誠治,"ネットワンシステムズ株式会社　中部事業本部　エキスパート
","テレワーク,働き方,人材（外部人材活用）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7043.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/043_2025_ad.pdf
51,おかだ　としき,岡田　俊樹,"愛知県豊田市上下水道局上下水企画課　主幹
","人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）,防災",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7044.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/044_2025_ad.pdf
52,おかだ　りょう,岡田　良,"一般社団法人沖縄新ＩＴビジネス創出促進協議会　顧問
沖縄国際大学非常勤講師","計画策定支援,医療・介護・健康,人材（ＤＸに関する知識習得・研修・育成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7045.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/045_2025_ad.pdf
53,おかだ　りょうすけ,岡田　亮介,"株式会社フューチャーリンクネットワーク　取締役
兵庫県伊丹市CIO補佐官","地域ビジネス,スマートシティ,防災",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7046.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/046_2025_ad.pdf
54,おかむら　ひさかず,岡村　久和,"亜細亜大学　都市創造学部　教授　学部長
","スマートシティ,個人情報保護,計画策定支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7047.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/047_2025_ad.pdf
55,おかもと　さとる,岡本　悟,"三重県総務部広聴広報課　副課長
","自治体システム調達
地域情報プラットフォーム,テレワーク,ICT活用広報",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7226.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/226_2025_ad.pdf
56,おかもと　まこと,岡本　真,"アカデミック・リソース・ガイド株式会社（arg）代表
株式会社C&Yパートナーズ顧問","プロジェクトマネジメント支援,計画策定支援,デジタルアーカイブ／図書館",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7048.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/048_2025_ad.pdf
57,おしかわ　ひろや,押川　裕也,"前奄美市商工観光情報部デジタル戦略課長兼働き方改革推進監
奄美市教育委員会事務局学び・スポーツ推進課長","RPA導入,人材（ＤＸに関する知識習得・研修・育成）,働き方",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7227.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/227_2025_ad.pdf
58,おだ　しんじ,小田　信治,"情報セキュリティ大学院大学客員研究員
一般社団法人オープンガバメント・コンソーシアム サイバーセキュリティ分科会主査","自治体セキュリティ,計画策定支援,個人情報保護",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7228.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/228_2025_ad.pdf
59,おだ　ゆりこ,織田　友理子,"特定非営利活動法人ウィーログ　代表理事
特定非営利活動法人PADM　代表","観光,オープンデータ,スマートシティ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7049.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/049_2025_ad.pdf
60,おの　けいじ,小野　桂二,"株式会社アイ・ティ・シー・キューブ　代表取締役
","個人情報保護,プロジェクトマネジメント支援,自治体システム調達
地域情報プラットフォーム",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7050.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/050_2025_ad.pdf
61,おまた　ひろし,小俣　博司,"一般社団法人 シビックテックジャパン 代表理事
東京大学空間情報科学研究センター 特任研究員","オープンデータ,AI活用,地域ビジネス",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7051.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/051_2025_ad.pdf
62,かさい　じゅん,葛西　純,"AI DataBank株式会社　顧問
","防災,観光,スタートアップ支援（起業支援）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7052.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/052_2025_ad.pdf
63,かつ　しんいちろう,勝　眞一郎,"サイバー大学　IT総合学部　教授
鹿児島大学大学院　理工学研究科　特任教授","計画策定支援,プロジェクトマネジメント支援,観光",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7053.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/053_2025_ad.pdf
64,かつや　ひさし,勝屋　久,"勝屋久事務所 代表
","働き方,地域ビジネス,スタートアップ支援（起業支援）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7054.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/054_2025_ad.pdf
65,かとう　ひでお,加藤　英夫,"KDDI株式会社ビジネスデザイン本部地域共創室・エキスパート
","農林水産業,５Ｇ,AI活用",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7229.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/229_2025_ad.pdf
66,かとう　りょう,加藤　遼,"総務省地域力創造アドバイザー
デジタル庁シェアリングエコノミー伝道師","働き方,テレワーク,シェアリングエコノミー",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7055.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/055_2025_ad.pdf
67,かねこ　はるお,金子　春雄,"元 自治体職員　元 塩尻市CTO（最高情報技術責任者）
","農林水産業,ネットワークインフラ
（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,防災",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7056.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/056_2025_ad.pdf
68,かみわき　ひでし,神脇　英司,"姫路市役所　デジタル戦略本部　デジタル戦略室　課長補佐
","生成AI活用,その他,プロジェクトマネジメント支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7057.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/057_2025_ad.pdf
69,かわい　たかよし,河井　孝仁,"東海大学文化社会学部広報メディア学科客員教授
合同会社公共コミュニケーション研究所代表CEO","ICT活用広報,EBPM（エビデンスに基づく政策立案）,観光",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7058.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/058_2025_ad.pdf
70,かわい　ひろし,川合　浩司,"川合経営システム研究所　代表
","自治体セキュリティ,個人情報保護,マイナンバー",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7059.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/059_2025_ad.pdf
71,かわぐち　ひろゆき,川口　弘行,"港区役所　情報政策監（CIO補佐官）
越谷市　最高デジタル責任者（CDO）","生成AI活用,計画策定支援,自治体セキュリティ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7060.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/060_2025_ad.pdf
72,かわしま　ひろいち,川島　宏一,"筑波大学システム情報系 特令教授
","EBPM（エビデンスに基づく政策立案）,スタートアップ支援（起業支援）,計画策定支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7061.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/061_2025_ad.pdf
73,きくち　としのぶ,菊地　俊延,"三井物産セキュアディレクション（株）公共事業部　プリンシパルコンサルタント
","人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）,自治体システム調達
地域情報プラットフォーム",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7062.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/062_2025_ad.pdf
74,きしもと　あきら,岸本　晃,"株式会社プリズム　代表取締役
NPO法人くまもと未来理事長","人材（ＤＸ推進のための機運の醸成）,人材（外部人材活用）,地域ビジネス",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7063.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/063_2025_ad.pdf
75,きた　こういち,喜多　耕一,"朝日航洋株式会社　空間情報事業本部　自治体アセット事業部　自治体DX推進室
","オープンデータ,AI活用,シェアリングエコノミー",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7064.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/064_2025_ad.pdf
76,きたおか　ゆうき,北岡　有喜,"社会医療法人岡本病院（財団）京都岡本記念病院　副院長
特定非営利活動法人日本サスティナブル・コミュニティ・センター　顧問","医療・介護・健康,教育情報化／情報教育,働き方",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7065.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/065_2025_ad.pdf
77,きのした　かつみ,木下　克己,"特定非営利活動法人情報化連携推進機構
一般社団法人GIS支援センター","EBPM（エビデンスに基づく政策立案）,スマートシティ,オープンデータ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7066.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/066_2025_ad.pdf
